id,district_id:id,name,cu_name
jurisdiction_pa_167,l10n_pa_edi.district_pa_25,HATO PILON,7
jurisdiction_pa_168,l10n_pa_edi.district_pa_25,JUAY,8
jurisdiction_pa_169,l10n_pa_edi.district_pa_25,QUEBRADA DE LORO,9
jurisdiction_pa_170,l10n_pa_edi.district_pa_25,SALTO DUPI,10
jurisdiction_pa_171,l10n_pa_edi.district_pa_25,SAN FELIX,11
jurisdiction_pa_172,l10n_pa_edi.district_pa_26,SAN LORENZO (CABECERA),1
jurisdiction_pa_173,l10n_pa_edi.district_pa_26,BOCA CHICA,2
jurisdiction_pa_174,l10n_pa_edi.district_pa_26,BOCA DE BALSA,3
jurisdiction_pa_175,l10n_pa_edi.district_pa_26,BOCA DE MONTE,4
jurisdiction_pa_176,l10n_pa_edi.district_pa_26,CAMARON ARRIBA,5
jurisdiction_pa_177,l10n_pa_edi.district_pa_26,CERRO BANCO,6
jurisdiction_pa_178,l10n_pa_edi.district_pa_26,CERRO DE PATENA,7
jurisdiction_pa_179,l10n_pa_edi.district_pa_26,EMPLANADA DE CHORCHA,8
jurisdiction_pa_180,l10n_pa_edi.district_pa_26,SAN JUAN,9
jurisdiction_pa_181,l10n_pa_edi.district_pa_26,SAN LORENZO,10
jurisdiction_pa_182,l10n_pa_edi.district_pa_26,SOLOY,11
jurisdiction_pa_183,l10n_pa_edi.district_pa_27,TOLE (CABECERA),1
jurisdiction_pa_184,l10n_pa_edi.district_pa_27,ALTO CABALLERO,2
jurisdiction_pa_185,l10n_pa_edi.district_pa_27,CERRO CAÑA,3
jurisdiction_pa_186,l10n_pa_edi.district_pa_27,CERRO IGLESIAS,4
jurisdiction_pa_187,l10n_pa_edi.district_pa_27,CERRO PUERCO,5
jurisdiction_pa_188,l10n_pa_edi.district_pa_27,CERRO VIEJO,6
jurisdiction_pa_189,l10n_pa_edi.district_pa_27,CHICHICA,7
jurisdiction_pa_190,l10n_pa_edi.district_pa_27,LAJAS DE TOLE,8
jurisdiction_pa_191,l10n_pa_edi.district_pa_27,MARACA,9
jurisdiction_pa_192,l10n_pa_edi.district_pa_27,PEÑA BLANCA,10
jurisdiction_pa_193,l10n_pa_edi.district_pa_27,POTRERO DE CAÑA,11
jurisdiction_pa_194,l10n_pa_edi.district_pa_27,QUEBRADA DE PIEDRA,12
jurisdiction_pa_195,l10n_pa_edi.district_pa_27,SITIO PRADO,13
jurisdiction_pa_196,l10n_pa_edi.district_pa_28,CHEPIGANA (CABECERA),1
jurisdiction_pa_197,l10n_pa_edi.district_pa_28,CAMOGANTI,2
jurisdiction_pa_198,l10n_pa_edi.district_pa_28,CHEPIGANA,3
jurisdiction_pa_199,l10n_pa_edi.district_pa_28,GARACHINE,4
jurisdiction_pa_200,l10n_pa_edi.district_pa_28,JAQUE,5
jurisdiction_pa_201,l10n_pa_edi.district_pa_28,PUERTO PIÑA,6
jurisdiction_pa_202,l10n_pa_edi.district_pa_28,RIO CONGO,7
jurisdiction_pa_203,l10n_pa_edi.district_pa_28,RIO IGLESIAS,8
jurisdiction_pa_204,l10n_pa_edi.district_pa_28,SAMBU,9
