code|name|active
7111|Servicios de perforación y prospección petrolífera y de gas|TRUE
7112|Servicios de construcción y perforación de pozos|TRUE
7113|Servicios de aumento de la extracción y producción de gas y petróleo|TRUE
7114|Servicios de restauración y recuperación de gas y petróleo|TRUE
7115|Servicios de procesamiento y gestión de datos de petróleo y gas|TRUE
7116|Servicios de gerencia de proyectos en pozos de petróleo y gas|TRUE
7200|Servicios de Edificación, Construcción de Instalaciones y Mantenimiento|TRUE
7210|Servicios de mantenimiento y reparaciones de construcciones e instalaciones|TRUE
7211|Servicios de construcción de edificaciones residenciales|TRUE
7212|Servicios de construcción de edificaciones no residenciales|TRUE
7214|Servicios de construcción pesada|TRUE
7215|Servicios de mantenimiento y construcción de comercio especializado|TRUE
7310|Industrias de plásticos y productos químicos|TRUE
7311|Industrias de la madera y el papel|TRUE
7312|Industrias del metal y de minerales|TRUE
7313|Industrias de alimentos y bebidas|TRUE
7314|Industrias de fibras, textiles y de tejidos|TRUE
7315|Servicios de apoyo a la fabricación|TRUE
7316|Fabricación de maquinaria y equipo de transporte|TRUE
7317|Fabricación de productos eléctricos e instrumentos de precisión|TRUE
7318|Servicios de maquinado y procesado|TRUE
7600|Servicios de Limpieza, Descontaminación y Tratamiento de Residuos|TRUE
7610|Servicios de descontaminación|TRUE
7611|Servicios de aseo y limpieza|TRUE
7612|Eliminación y tratamiento de desechos|TRUE
7613|Limpieza de residuos tóxicos y peligrosos|TRUE
7700|Servicios Medioambientales|TRUE
7710|Gestión medioambiental|TRUE
7711|Protección medioambiental|TRUE
7712|Seguimiento, control y rehabilitación de la contaminación|TRUE
7713|Servicios de seguimiento, control o rehabilitación de contaminantes|TRUE
7800|Servicios de Transporte, Almacenaje y Correo|TRUE
7810|Transporte de correo y carga|TRUE
7811|Transporte de pasajeros|TRUE
7812|Manejo y embalaje de material|TRUE
7813|Almacenaje|TRUE
7814|Servicios de transporte|TRUE
7818|Servicios de mantenimiento o reparaciones de transportes|TRUE
8000|Servicios de Gestión, Servicios Profesionales de Empresa y Servicios Administrativos|TRUE
8010|Servicios de asesoría de gestión|TRUE
8011|Servicios de recursos humanos|TRUE
8012|Servicios legales|TRUE
8013|Servicios inmobiliarios|TRUE
8014|Comercialización y distribución|TRUE
8015|Política comercial y servicios|TRUE
8016|Servicios de administración de empresas|TRUE
8100|Servicios Basados en Ingeniería, Investigación y Tecnología|TRUE
8110|Servicios profesionales de ingeniería|TRUE
8111|Servicios informáticos|TRUE
8112|Economía|TRUE
8113|Estadística|TRUE
8114|Tecnologías de fabricación|TRUE
8115|Servicios de pedología|TRUE
8116|Entrega de servicios de tecnología de información|TRUE
8200|Servicios Editoriales, de Diseño, de Artes Gráficas y Bellas Artes|TRUE
8210|Publicidad|TRUE
8211|Escritura y traducciones|TRUE
8212|Servicios de reproducción|TRUE
8213|Servicios fotográficos|TRUE
8214|Diseño gráfico|TRUE
8215|Artistas e intérpretes profesionales|TRUE
8300|Servicios Públicos y Servicios Relacionados con el Sector Público|TRUE
8310|Servicios públicos|TRUE
8311|Servicios de medios de telecomunicaciones|TRUE
8312|Servicios de información|TRUE
8400|Servicios Financieros y de Seguros Seguros|TRUE
8410|Finanzas de desarrollo|TRUE
8411|Servicios de contabilidad y auditorias|TRUE
8412|Banca e inversiones|TRUE
8413|Servicios de seguros y pensiones|TRUE
8414|Agencias de crédito|TRUE
8510|Servicios integrales de salud|TRUE
8511|Prevención y control de enfermedades|TRUE
8512|Práctica médica|TRUE
8513|Ciencia médica, investigación y experimentación|TRUE
8514|Medicina alternativa y holística|TRUE
8515|Servicios alimenticios y de nutrición|TRUE
8516|Servicios de mantenimiento, renovación y reparación de equipo médico quirúrgico|TRUE
8517|Servicios de muerte y soporte al fallecimiento|TRUE
8600|Servicios Educativos y de Formación|TRUE
8610|Formación profesional|TRUE
8611|Sistemas educativos alternativos|TRUE
8612|Instituciones educativas|TRUE
8613|Servicios educativos especializados|TRUE
8614|Instalaciones educativas|TRUE
9000|Servicios de Viajes, Alimentación, Alojamiento y Entretenimiento|TRUE
9010|Restaurantes y catering (servicios de comidas y bebidas)|TRUE
9011|Instalaciones hoteleras, alojamientos y centros de encuentros|TRUE
9012|Facilitación de viajes|TRUE
9013|Artes interpretativas|TRUE
9014|Deportes comerciales|TRUE
9015|Servicios de entretenimiento|TRUE
9100|Servicios Personales y Domésticos|TRUE
9110|Aspecto personal|TRUE
9111|Asistencia doméstica y personal|TRUE
9200|Servicios de Defensa Nacional, Orden Público, Seguridad y Vigilancia|TRUE
9210|Orden público y seguridad|TRUE
9211|Servicios militares o defensa nacional|TRUE
9212|Seguridad y protección personal|TRUE
9300|Servicios Políticos y de Asuntos Cívicos|TRUE
9310|Sistemas e instituciones políticas|TRUE
9311|Condiciones sociopolíticas|TRUE
9312|Relaciones internacionales|TRUE
9313|Ayuda y asistencia humanitaria|TRUE
9314|Servicios comunitarios y sociales|TRUE
9315|Servicios de administración y financiación pública|TRUE
9316|Tributación|TRUE
9317|Política y regulación comercial|TRUE
9410|Organizaciones laborales|TRUE
9411|Organizaciones religiosas|TRUE
9412|Clubes|TRUE
9413|Organizaciones, asociaciones y movimientos cívicos|TRUE
9500|Terrenos, Edificios, Estructuras y Vías|TRUE
9510|Parcelas de tierra|TRUE
9511|Vías|TRUE
9512|Estructuras y edificios permanentes|TRUE
9513|Estructuras y edificios móviles|TRUE
